宝玉	3987	6.0	2.6527574641237246	0.2049534659004221
凤姐	1746	7.189824558880018	2.4488780939762655	0.28691703717718287
贾母	1686	6.375039431346925	2.492916201050139	0.29388611912883755
我们	1229	3.9068905956085187	3.521392698596163	0.5335176226675881
袭人	1147	5.672425341971496	2.4737719935070435	0.14622641509433962
姑娘	1136	7.930737337562887	4.420666604754529	0.18957011980267793
宝钗	1077	6.554588851677638	2.6971364460243636	0.26132462530352507
王夫人	1071	5.7279204545632	2.6045674785671347	0.35809310100061825
出来	1053	4.0	2.1785117748880216	0.1554333764553687
你们	1009	4.0	2.950519078192556	0.3110139382344903
丫头	998	7.076815597050832	3.708002910980862	0.21875
知道	989	4.08746284125034	2.7777588029607365	0.22401060405226284
奶奶	934	7.129283016944966	4.076129644325938	0.20733571064696893
他们	898	3.700439718141092	4.40901971292919	0.3246019517205958
自己	838	7.74819284958946	4.113765323454594	0.3383177570093458
贾琏	771	6.554588851677638	2.3866352293100492	0.7698412698412699
听见	702	4.643856189774724	4.534389140598525	0.3638309256286784
平儿	695	6.129283016944967	2.288580134919316	0.2877423571272965
进来	691	4.459431618637297	2.532109427872307	0.22343632253202714
老爷	641	6.285402218862249	4.451611461361043	0.5194627371715459
咱们	611	6.832890014164742	2.5621098469586543	0.563680387409201
回来	579	3.1699250014423126	2.9184053288470295	0.3839223839223839
大家	547	4.523561956057013	2.2821974942688352	0.1806695091676222
二爷	504	5.930737337562887	3.953971593922746	0.2655577860625179
过来	490	3.1699250014423126	3.020138179360258	0.36855744313273825
薛姨妈	458	8.965784284662087	2.3385011017097233	0.4292358803986711
一时	441	3.1699250014423126	2.252166961427527	0.14850198715988994
紫鹃	438	9.972979786066292	2.4463227575821995	0.6143344709897611
湘云	421	9.082149041353873	2.180044619667608	0.25184813933091094
如此	413	6.022367813028454	2.5127767294233787	0.2234513274336283
心里	412	4.08746284125034	3.410388982051288	0.12101817649855538
叫他	407	3.700439718141092	3.5523339468445756	0.241397021058038
贾珍	389	6.303780748177103	2.3897672296254435	0.5849509269356598
见他	380	2.321928094887362	4.8215029383477646	0.15267562769464874
今日	377	5.08746284125034	2.826014968674913	0.1774535638537181
一回	376	2.321928094887362	2.6606580939550977	0.1373873873873874
人家	375	2.321928094887362	4.133711312784257	0.13589632038101343
二人	364	2.807354922057604	3.8834126636714266	0.2655577860625179
只管	349	5.554588851677638	3.354982448216697	0.1385306019221042
晴雯	343	10.60177078840771	2.4378389938241485	0.18107556160653507
尤氏	342	9.556506054671928	2.327302325779883	0.3632491186839013
媳妇	331	10.240791332161956	4.317103369868643	0.12396694214876033
外头	313	5.392317422778761	2.7153189753997107	0.3077438178600469
自然	311	5.807354922057605	2.953923703133679	0.26399433141006173
打发	310	6.794415866350106	3.488272358284389	0.18409496065046307
今儿	300	3.700439718141092	2.440209434736547	0.42578510069004366
那一	293	1.0	3.303680278497251	0.10614037480564117
小丫头	289	6.339850002884625	2.8631358047580937	0.3077438178600469
薛蟠	288	9.090112419664289	2.7410989404583086	0.11136890951276102
邢夫人	288	5.7279204545632	2.912926036477096	0.35809310100061825
那些	288	3.9068905956085187	3.667607972768263	0.3886986301369863
林黛玉	279	6.539158811108032	2.038840293193176	0.2049534659004221
看见	276	3.700439718141092	3.965690635399927	0.40615773935048505
一声	275	4.0	2.4543608993372183	0.2674922938432581
姊妹	257	8.791162888555018	4.3106354841886745	0.2553191489361702
给他	255	4.08746284125034	4.959731738798643	0.241397021058038
一句	253	4.169925001442312	2.7463020875050757	0.2674922938432581
到底	246	7.238404739325079	2.7740168286005478	0.14584382871536525
叫人	245	2.321928094887362	4.242099348596198	0.3427601809954751
别人	241	3.3219280948873626	2.895530992650038	0.35809310100061825
明儿	240	4.247927513443585	2.4324399622367423	0.2009720696427977
姨娘	236	6.209453365628951	2.773120319359147	0.12681159420289856
连忙	234	6.442943495848729	3.0517827917774767	0.3516068052930057
哥哥	231	8.071462362556625	3.9592005343459817	0.14914970727627544
丫鬟	230	8.807354922057604	3.6695256691531193	0.21875
贾蓉	230	6.339850002884625	2.449556821103602	0.47180370210934136
一件	228	4.392317422778761	3.43820921175572	0.2674922938432581
一日	225	1.5849625007211563	3.446593518203043	0.1774535638537181
二奶奶	223	5.672425341971496	3.51930233745188	0.2272032603158431
人等	221	2.584962500721156	2.558447121875374	0.13589632038101343
叫我	221	2.321928094887362	3.2344736932948046	0.17429163787145818
小厮	221	7.924812503605781	3.1008007361599463	0.16666666666666666
起身	218	5.426264754702098	4.334076406774196	0.1885230479774224
已经	212	7.6865005271832185	4.467088458186756	0.10181178023912565
果然	210	7.592457037268081	2.216189296149886	0.1293843690874691
跟前	206	7.169925001442313	3.295311182549903	0.1516088400320623
女儿	201	4.392317422778761	3.711106622160552	0.2318267233705865
瞧瞧	200	7.149747119504682	2.4629582766620373	0.3225806451612903
越发	200	8.330916878114618	3.3747368324315277	0.18409496065046307
句话	196	6.149747119504682	2.217379969571704	0.21148825065274152
惜春	195	8.558420713268665	2.5724493589927255	0.23826668381123828
贾赦	195	6.584962500721156	3.486214198455166	0.5943396226415094
喜欢	193	9.095397022792557	2.118521828030257	0.27936638551738324
吩咐	185	11.12347479824414	4.077006483303302	0.26666666666666666
想起	184	4.523561956057013	3.4503516091163826	0.17727952167414052
一处	183	3.1699250014423126	3.2744454598152726	0.2674922938432581
兄弟	183	9.828136484194108	3.8437796419191232	0.16085578446909668
此时	182	4.954196310386876	3.1144758040081753	0.14850198715988994
母亲	182	5.426264754702098	2.99106170266934	0.272663139329806
